sample,time,window,precision,modulation,band,payload,tx,boost,measured
0,2018-06-07 13:20:38.954215,0.0004,4.0000400004000045e-09,6,9,0,False,False,5.5728557285572865e-05
1,2018-06-07 13:20:39.790848,0.0004,4.0000400004000045e-09,9,41,0,False,False,5.573255732557326e-05
2,2018-06-07 13:20:40.637343,0.0004,4.0000400004000045e-09,8,49,0,False,False,5.5728557285572865e-05
3,2018-06-07 13:20:41.528874,0.0004,4.0000400004000045e-09,5,21,0,False,False,5.698056980569806e-05
4,2018-06-07 13:20:42.392190,0.0004,4.0000400004000045e-09,2,39,254,True,False,1.764417644176442e-05
5,2018-06-07 13:20:43.276727,0.0004,4.0000400004000045e-09,1,28,0,False,False,5.5728557285572865e-05
6,2018-06-07 13:20:44.119842,0.0004,4.0000400004000045e-09,2,48,0,False,True,7.566875668756689e-05
7,2018-06-07 13:20:45.029065,0.0004,4.0000400004000045e-09,1,51,254,True,False,1.764417644176442e-05
8,2018-06-07 13:20:45.870270,0.0004,4.0000400004000045e-09,4,25,0,False,True,7.566875668756689e-05
9,2018-06-07 13:20:46.734250,0.0004,4.0000400004000045e-09,6,44,254,True,False,1.764417644176442e-05
10,2018-06-07 13:20:47.569091,0.0004,4.0000400004000045e-09,4,27,0,False,False,5.5728557285572865e-05
11,2018-06-07 13:20:48.425459,0.0004,4.0000400004000045e-09,2,51,254,True,False,1.764817648176482e-05
12,2018-06-07 13:20:49.286143,0.0004,4.0000400004000045e-09,3,22,254,True,False,1.764417644176442e-05
13,2018-06-07 13:20:50.128532,0.0004,4.0000400004000045e-09,0,0,0,False,True,7.566875668756689e-05
14,2018-06-07 13:20:51.014642,0.0004,4.0000400004000045e-09,3,51,0,False,True,7.823278232782328e-05
15,2018-06-07 13:20:51.865525,0.0004,4.0000400004000045e-09,5,41,0,False,True,7.566875668756689e-05
16,2018-06-07 13:20:52.741242,0.0004,4.0000400004000045e-09,2,11,254,True,False,1.764817648176482e-05
17,2018-06-07 13:20:53.656355,0.0004,4.0000400004000045e-09,5,39,254,True,False,1.764817648176482e-05
18,2018-06-07 13:20:54.523647,0.0004,4.0000400004000045e-09,9,27,254,True,False,1.764417644176442e-05
19,2018-06-07 13:20:55.391453,0.0004,4.0000400004000045e-09,9,17,254,True,False,1.764417644176442e-05
20,2018-06-07 13:20:56.223344,0.0004,4.0000400004000045e-09,5,22,0,False,False,5.573255732557326e-05
21,2018-06-07 13:20:57.056959,0.0004,4.0000400004000045e-09,3,18,0,False,True,7.820878208782089e-05
22,2018-06-07 13:20:57.897580,0.0004,4.0000400004000045e-09,4,22,0,False,True,7.566875668756689e-05
23,2018-06-07 13:20:58.743639,0.0004,4.0000400004000045e-09,8,12,0,False,True,7.566875668756689e-05
24,2018-06-07 13:20:59.659326,0.0004,4.0000400004000045e-09,9,46,254,True,False,1.764417644176442e-05
25,2018-06-07 13:21:00.502280,0.0004,4.0000400004000045e-09,0,33,0,False,True,7.566875668756689e-05
26,2018-06-07 13:21:01.399537,0.0004,4.0000400004000045e-09,9,18,254,True,False,1.764417644176442e-05
27,2018-06-07 13:21:02.263316,0.0004,4.0000400004000045e-09,4,5,254,True,False,1.764417644176442e-05
28,2018-06-07 13:21:03.177758,0.0004,4.0000400004000045e-09,1,11,0,False,True,7.572875728757288e-05
29,2018-06-07 13:21:04.087812,0.0004,4.0000400004000045e-09,1,15,0,False,False,5.5728557285572865e-05
30,2018-06-07 13:21:05.017718,0.0004,4.0000400004000045e-09,4,21,254,True,False,1.764817648176482e-05
31,2018-06-07 13:21:05.880685,0.0004,4.0000400004000045e-09,8,30,254,True,False,1.764817648176482e-05
32,2018-06-07 13:21:06.748405,0.0004,4.0000400004000045e-09,9,40,254,True,False,1.764417644176442e-05
33,2018-06-07 13:21:07.636148,0.0004,4.0000400004000045e-09,3,10,0,False,False,5.573255732557326e-05
34,2018-06-07 13:21:08.483516,0.0004,4.0000400004000045e-09,8,49,0,False,True,7.781277812778129e-05
35,2018-06-07 13:21:09.359207,0.0004,4.0000400004000045e-09,3,33,0,False,True,7.785677856778569e-05
36,2018-06-07 13:21:10.233314,0.0004,4.0000400004000045e-09,8,20,0,False,False,5.5728557285572865e-05
37,2018-06-07 13:21:11.092374,0.0004,4.0000400004000045e-09,7,18,254,True,False,1.764817648176482e-05
38,2018-06-07 13:21:12.031525,0.0004,4.0000400004000045e-09,8,12,254,True,False,1.764817648176482e-05
39,2018-06-07 13:21:12.913694,0.0004,4.0000400004000045e-09,7,7,0,False,False,5.573255732557326e-05
40,2018-06-07 13:21:13.814348,0.0004,4.0000400004000045e-09,9,41,254,True,False,1.764817648176482e-05
41,2018-06-07 13:21:14.684285,0.0004,4.0000400004000045e-09,9,23,0,False,False,5.573255732557326e-05
42,2018-06-07 13:21:15.530251,0.0004,4.0000400004000045e-09,5,31,0,False,False,5.573255732557326e-05
43,2018-06-07 13:21:16.409403,0.0004,4.0000400004000045e-09,6,2,0,False,True,7.566875668756689e-05
44,2018-06-07 13:21:17.282709,0.0004,4.0000400004000045e-09,5,34,0,False,False,5.5728557285572865e-05
45,2018-06-07 13:21:18.117303,0.0004,4.0000400004000045e-09,5,30,0,False,True,7.566875668756689e-05
46,2018-06-07 13:21:19.002296,0.0004,4.0000400004000045e-09,4,2,0,False,False,5.8460584605846065e-05
47,2018-06-07 13:21:19.834811,0.0004,4.0000400004000045e-09,3,33,0,False,True,7.566875668756689e-05
48,2018-06-07 13:21:20.670076,0.0004,4.0000400004000045e-09,9,46,0,False,False,5.5728557285572865e-05
49,2018-06-07 13:21:21.512734,0.0004,4.0000400004000045e-09,5,36,0,False,True,7.566875668756689e-05
50,2018-06-07 13:21:22.371122,0.0004,4.0000400004000045e-09,9,31,254,True,False,1.764817648176482e-05
51,2018-06-07 13:21:23.332463,0.0004,4.0000400004000045e-09,5,42,0,False,False,5.573255732557326e-05
52,2018-06-07 13:21:24.221486,0.0004,4.0000400004000045e-09,8,18,0,False,False,5.5728557285572865e-05
53,2018-06-07 13:21:25.091060,0.0004,4.0000400004000045e-09,1,50,254,True,False,1.764817648176482e-05
54,2018-06-07 13:21:25.947781,0.0004,4.0000400004000045e-09,8,30,254,True,False,1.764417644176442e-05
55,2018-06-07 13:21:26.787274,0.0004,4.0000400004000045e-09,4,28,0,False,True,7.566875668756689e-05
56,2018-06-07 13:21:27.621559,0.0004,4.0000400004000045e-09,0,8,0,False,False,5.581655816558166e-05
57,2018-06-07 13:21:28.527636,0.0004,4.0000400004000045e-09,9,19,254,True,False,1.764817648176482e-05
58,2018-06-07 13:21:29.390958,0.0004,4.0000400004000045e-09,9,7,254,True,False,1.764817648176482e-05
59,2018-06-07 13:21:30.234023,0.0004,4.0000400004000045e-09,4,43,0,False,True,7.566875668756689e-05
60,2018-06-07 13:21:31.097770,0.0004,4.0000400004000045e-09,6,7,254,True,False,1.764817648176482e-05
61,2018-06-07 13:21:31.958612,0.0004,4.0000400004000045e-09,5,47,254,True,False,1.764817648176482e-05
62,2018-06-07 13:21:32.794647,0.0004,4.0000400004000045e-09,8,50,0,False,True,7.566875668756689e-05
63,2018-06-07 13:21:33.677303,0.0004,4.0000400004000045e-09,1,37,0,False,True,7.566875668756689e-05
64,2018-06-07 13:21:34.578536,0.0004,4.0000400004000045e-09,9,37,254,True,False,1.764817648176482e-05
65,2018-06-07 13:21:35.439371,0.0004,4.0000400004000045e-09,5,21,254,True,False,1.764417644176442e-05
66,2018-06-07 13:21:36.320751,0.0004,4.0000400004000045e-09,4,13,0,False,False,5.573255732557326e-05
67,2018-06-07 13:21:37.196440,0.0004,4.0000400004000045e-09,6,32,0,False,False,5.573255732557326e-05
68,2018-06-07 13:21:38.161777,0.0004,4.0000400004000045e-09,7,50,0,False,False,5.573255732557326e-05
69,2018-06-07 13:21:39.076654,0.0004,4.0000400004000045e-09,1,25,254,True,False,1.764817648176482e-05
70,2018-06-07 13:21:40.023427,0.0004,4.0000400004000045e-09,2,42,254,True,False,1.764417644176442e-05
71,2018-06-07 13:21:40.930736,0.0004,4.0000400004000045e-09,2,40,0,False,False,5.573255732557326e-05
72,2018-06-07 13:21:41.827330,0.0004,4.0000400004000045e-09,7,51,254,True,False,1.764817648176482e-05
73,2018-06-07 13:21:42.677016,0.0004,4.0000400004000045e-09,9,41,0,False,False,5.7000570005700067e-05
74,2018-06-07 13:21:43.583451,0.0004,4.0000400004000045e-09,8,17,254,True,False,1.764817648176482e-05
75,2018-06-07 13:21:44.424062,0.0004,4.0000400004000045e-09,6,13,0,False,True,7.566875668756689e-05
76,2018-06-07 13:21:45.292464,0.0004,4.0000400004000045e-09,5,5,254,True,False,1.764817648176482e-05
77,2018-06-07 13:21:46.131805,0.0004,4.0000400004000045e-09,8,36,0,False,False,5.573255732557326e-05
78,2018-06-07 13:21:46.978331,0.0004,4.0000400004000045e-09,6,12,0,False,False,5.698056980569806e-05
79,2018-06-07 13:21:47.888919,0.0004,4.0000400004000045e-09,0,21,254,True,False,1.764417644176442e-05
80,2018-06-07 13:21:48.815798,0.0004,4.0000400004000045e-09,0,3,0,False,True,7.566875668756689e-05
81,2018-06-07 13:21:49.742865,0.0004,4.0000400004000045e-09,9,3,254,True,False,1.764817648176482e-05
82,2018-06-07 13:21:50.630703,0.0004,4.0000400004000045e-09,9,7,254,True,False,1.764817648176482e-05
83,2018-06-07 13:21:51.463464,0.0004,4.0000400004000045e-09,5,9,0,False,False,5.839658396583967e-05
84,2018-06-07 13:21:52.353983,0.0004,4.0000400004000045e-09,9,48,0,False,True,7.820878208782089e-05
85,2018-06-07 13:21:53.225061,0.0004,4.0000400004000045e-09,4,39,254,True,False,1.764817648176482e-05
86,2018-06-07 13:21:54.132136,0.0004,4.0000400004000045e-09,3,22,254,True,False,1.764417644176442e-05
87,2018-06-07 13:21:54.994822,0.0004,4.0000400004000045e-09,9,10,254,True,False,1.764817648176482e-05
88,2018-06-07 13:21:55.834571,0.0004,4.0000400004000045e-09,1,50,0,False,True,7.566875668756689e-05
89,2018-06-07 13:21:56.742232,0.0004,4.0000400004000045e-09,7,20,254,True,False,1.764817648176482e-05
90,2018-06-07 13:21:57.631147,0.0004,4.0000400004000045e-09,5,6,0,False,False,5.8436584365843666e-05
91,2018-06-07 13:21:58.472855,0.0004,4.0000400004000045e-09,5,34,0,False,False,5.5728557285572865e-05
92,2018-06-07 13:21:59.323260,0.0004,4.0000400004000045e-09,0,24,0,False,False,5.573255732557326e-05
93,2018-06-07 13:22:00.162602,0.0004,4.0000400004000045e-09,9,42,0,False,True,7.785677856778569e-05
94,2018-06-07 13:22:01.012520,0.0004,4.0000400004000045e-09,5,5,0,False,False,5.581655816558166e-05
95,2018-06-07 13:22:01.899370,0.0004,4.0000400004000045e-09,8,41,254,True,False,1.764817648176482e-05
96,2018-06-07 13:22:02.761289,0.0004,4.0000400004000045e-09,3,46,254,True,False,1.764817648176482e-05
97,2018-06-07 13:22:03.597282,0.0004,4.0000400004000045e-09,9,24,0,False,True,7.789677896778969e-05
98,2018-06-07 13:22:04.501149,0.0004,4.0000400004000045e-09,0,31,254,True,False,1.764417644176442e-05
99,2018-06-07 13:22:05.369637,0.0004,4.0000400004000045e-09,9,18,254,True,False,1.764417644176442e-05
100,2018-06-07 13:22:06.214157,0.0004,4.0000400004000045e-09,5,33,0,False,True,7.566875668756689e-05
101,2018-06-07 13:22:07.077819,0.0004,4.0000400004000045e-09,1,42,254,True,False,1.764817648176482e-05
102,2018-06-07 13:22:07.946440,0.0004,4.0000400004000045e-09,8,43,254,True,False,1.764817648176482e-05
103,2018-06-07 13:22:08.777519,0.0004,4.0000400004000045e-09,3,2,0,False,False,5.573255732557326e-05
104,2018-06-07 13:22:09.671667,0.0004,4.0000400004000045e-09,9,37,254,True,False,1.764417644176442e-05
105,2018-06-07 13:22:10.511230,0.0004,4.0000400004000045e-09,6,46,0,False,True,7.785677856778569e-05
106,2018-06-07 13:22:11.357761,0.0004,4.0000400004000045e-09,0,16,0,False,False,5.5728557285572865e-05
107,2018-06-07 13:22:12.221501,0.0004,4.0000400004000045e-09,0,44,254,True,False,1.764817648176482e-05
108,2018-06-07 13:22:13.065508,0.0004,4.0000400004000045e-09,8,25,0,False,False,5.573255732557326e-05
109,2018-06-07 13:22:13.967600,0.0004,4.0000400004000045e-09,8,16,254,True,False,1.764817648176482e-05
110,2018-06-07 13:22:14.808464,0.0004,4.0000400004000045e-09,1,23,0,False,True,7.823278232782328e-05
111,2018-06-07 13:22:15.642595,0.0004,4.0000400004000045e-09,8,29,0,False,False,5.5728557285572865e-05
112,2018-06-07 13:22:16.534645,0.0004,4.0000400004000045e-09,0,6,254,True,False,1.764817648176482e-05
113,2018-06-07 13:22:17.393197,0.0004,4.0000400004000045e-09,8,35,254,True,False,1.764817648176482e-05
114,2018-06-07 13:22:18.316874,0.0004,4.0000400004000045e-09,0,33,0,False,False,5.573255732557326e-05
115,2018-06-07 13:22:19.228188,0.0004,4.0000400004000045e-09,4,44,254,True,False,1.764817648176482e-05
116,2018-06-07 13:22:20.070094,0.0004,4.0000400004000045e-09,2,21,0,False,True,7.743677436774368e-05
117,2018-06-07 13:22:20.956544,0.0004,4.0000400004000045e-09,7,49,254,True,False,1.764817648176482e-05
118,2018-06-07 13:22:21.810594,0.0004,4.0000400004000045e-09,8,47,254,True,False,1.764817648176482e-05
119,2018-06-07 13:22:22.676023,0.0004,4.0000400004000045e-09,9,29,0,False,False,5.5752557525575265e-05
120,2018-06-07 13:22:23.576741,0.0004,4.0000400004000045e-09,0,20,254,True,False,1.764817648176482e-05
121,2018-06-07 13:22:24.417565,0.0004,4.0000400004000045e-09,0,28,0,False,True,7.566875668756689e-05
122,2018-06-07 13:22:25.285601,0.0004,4.0000400004000045e-09,7,25,254,True,False,1.764817648176482e-05
